factor,initial_target_cell_particles,ratio,stage,pairs,median_speedup,ci95_low,ci95_high,classification
2,22000,S2_over_S1,compaction_ms,5,1.001337856147076,0.99541530841003867,1.0069580328630399,inconclusive
2,22000,S2_over_S1,boundary_ms,5,1,0.96000005765625152,1,inconclusive
2,22000,S2_over_T2,total_ms,5,1.0161309820221887,1.0149807182158512,1.0302020567841357,positive
2,22000,S2_over_T2,gas_flux_ms,5,1.05988021820494,0.92400000329687493,1.078492939905271,inconclusive
2,22000,S2_over_T2,eulerian_coupling_ms,5,1.0104165940708609,0.97461935302841529,1.0416665990617564,inconclusive
2,22000,S2_over_T2,injection_ms,5,1,0.9860375600569109,1.0358565558607205,inconclusive
2,22000,S2_over_T2,bin_pre_ms,5,4.1086955309227893,4.0072691826517204,4.4418604424055221,positive
2,22000,S2_over_T2,pressure_pre_ms,5,1.0435043142534115,1.0356285884509542,1.0471438368114199,positive
2,22000,S2_over_T2,collision_pool_ms,5,1.1192713934133598,1.1101944769261931,1.1231585265357984,positive
2,22000,S2_over_T2,relax_ms,5,1.0004421227635838,0.99896645416781893,1.0120855066126764,inconclusive
2,22000,S2_over_T2,track_ms,5,1.0021476680727364,0.99561286632129098,1.0179576638589194,inconclusive
2,22000,S2_over_T2,bin_post_ms,5,1,0.99598398272222188,1.0053763071925323,inconclusive
2,22000,S2_over_T2,moments_ms,5,1.0011296354469523,0.98764739459046902,1.0042613637427651,inconclusive
2,22000,S2_over_T2,pressure_post_ms,5,1.0030110634111089,0.99866487347713628,1.0087218956015767,inconclusive
2,22000,S2_over_T2,compaction_ms,5,1.0019493331825975,0.99661342467580094,1.0103759706267739,inconclusive
2,22000,S2_over_T2,boundary_ms,5,0.97772124999898802,0.96000005765625152,1,inconclusive
2,22000,S1_over_T1,total_ms,5,1.0220075371158066,1.0143489834458612,1.0285805137766952,positive
2,22000,S1_over_T1,gas_flux_ms,5,1.0601914992019967,0.85597827340614574,1.150769258861871,inconclusive
2,22000,S1_over_T1,eulerian_coupling_ms,5,1.0104165940708609,0.98461545221585545,1.025773202850994,inconclusive
2,22000,S1_over_T1,injection_ms,5,1.0148662010654113,1,1.0322580743732117,inconclusive
2,22000,S1_over_T1,bin_pre_ms,5,19.578948788088709,8.4204544356543174,19.606908364834371,positive
2,22000,S1_over_T1,pressure_pre_ms,5,1.0451724379737666,1.0422100194585939,1.0523529046677376,positive
2,22000,S1_over_T1,collision_pool_ms,5,1.1273486403744704,1.1224913547219786,1.1410614740927649,positive
2,22000,S1_over_T1,relax_ms,5,1.0000490968049471,0.99921425157971344,1.0006382538527647,inconclusive
2,22000,S1_over_T1,track_ms,5,1.0004006123229292,0.99705801475767175,1.0089981251717828,inconclusive
2,22000,S1_over_T1,bin_post_ms,5,1.0027396670561455,0.9972678182122896,1.0082191590237388,inconclusive
2,22000,S1_over_T1,moments_ms,5,0.99901477191723909,0.99413489410403044,1.0036061334011634,inconclusive
2,22000,S1_over_T1,pressure_post_ms,5,0.99832886392788145,0.99567096322182103,1.0039986572965436,inconclusive
2,22000,S1_over_T1,compaction_ms,5,0.99878536644554483,0.99587825640597649,1.0018181676243976,inconclusive
2,22000,S1_over_T1,boundary_ms,5,1,0.96000005765625152,1.0416666041056339,inconclusive
4,44000,T2_over_T1,total_ms,5,1.0026720802320317,1.0022018814974374,1.0064439652469688,positive
4,44000,T2_over_T1,gas_flux_ms,5,0.96081506833125696,0.93108503381583119,1.0256821923906501,inconclusive
4,44000,T2_over_T1,eulerian_coupling_ms,5,1,1,1.0260415996180663,inconclusive
4,44000,T2_over_T1,injection_ms,5,0.99851410506898819,0.96874999074935919,1,inconclusive
4,44000,T2_over_T1,bin_pre_ms,5,0.980314962738975,0.9789473614146903,0.98425199889852943,negative
4,44000,T2_over_T1,pressure_pre_ms,5,1.0059601083966647,0.98472116360254902,1.0077700051031397,inconclusive
4,44000,T2_over_T1,collision_pool_ms,5,1.1476792825070881,1.1350923311812304,1.1557550344945027,positive
4,44000,T2_over_T1,relax_ms,5,1.0000488209760499,0.99999995233025241,1.0014149983632152,inconclusive
4,44000,T2_over_T1,track_ms,5,0.99947061116388947,0.99904876838084533,1.0070666889585076,inconclusive
4,44000,T2_over_T1,bin_post_ms,5,0.98133334649999993,0.98002663412276747,0.99201063180323545,negative
4,44000,T2_over_T1,moments_ms,5,1.0048226672513962,0.99065420005026394,1.0065322156732353,inconclusive
4,44000,T2_over_T1,pressure_post_ms,5,1.002632574794136,0.991168853952764,1.0120167217096214,inconclusive
4,44000,T2_over_T1,compaction_ms,5,1.0002907786337629,0.98779317478133444,1.0037251077024878,inconclusive
4,44000,T2_over_T1,boundary_ms,5,1,1,1,inconclusive
4,44000,S2_over_S1,total_ms,5,0.99928577165838095,0.99598014180085159,1.0051363432908924,inconclusive
4,44000,S2_over_S1,gas_flux_ms,5,1.0238334097431743,1.0091244696397637,1.0969230542414015,positive
